City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Qaanaaq,GL,2021-11-12 22:30:50,77.484,-69.3632,-6.79,59,0,9.71
122,Chicla,PE,2021-11-12 22:30:50,-11.705,-76.2686,43.57,83,100,5.39
123,Komsomolskiy,UZ,2021-11-12 22:30:51,40.4272,71.7189,38.62,60,60,4.61
124,Sangar,RU,2021-11-12 22:30:51,63.9242,127.4739,-13.79,99,100,2.44
125,Port Alfred,ZA,2021-11-12 22:30:52,-33.5906,26.891,61.74,86,13,5.88
126,Bengkulu,ID,2021-11-12 22:30:52,-3.8004,102.2655,75.31,89,94,3.69
127,Malanje,AO,2021-11-12 22:30:53,-9.5402,16.341,64.38,95,98,2.86
128,Kysyl-Syr,RU,2021-11-12 22:30:54,63.8986,122.7617,-4.83,95,100,4.32
129,Lebu,CL,2021-11-12 22:30:54,-37.6167,-73.65,54.12,81,98,9.44
130,Cacule,BR,2021-11-12 22:30:54,-14.5033,-42.2222,76.08,64,98,3.49
131,Byron Bay,AU,2021-11-12 22:26:26,-28.65,153.6167,69.75,50,0,15.35
132,Coahuayana,MX,2021-11-12 22:30:55,18.7333,-103.6833,89.08,72,42,4.45
133,Berani,PK,2021-11-12 22:30:55,25.785,68.8069,60.89,20,0,5.93
134,Narsaq,GL,2021-11-12 22:30:56,60.9167,-46.05,19.62,67,98,6.4
135,Saldanha,ZA,2021-11-12 22:30:56,-33.0117,17.9442,62.74,94,55,14.74
136,Punta Arenas,CL,2021-11-12 22:30:36,-53.15,-70.9167,59.11,44,20,17.27
137,Black River,JM,2021-11-12 22:30:57,18.0264,-77.8487,80.6,79,20,7.45
138,Bima,ID,2021-11-12 22:30:57,-8.4667,118.7167,79.2,87,100,4.41
139,Ishikawa,JP,2021-11-12 22:30:58,26.4233,127.8214,66.16,80,75,8.05
140,Erenhot,CN,2021-11-12 22:30:58,43.6475,111.9767,25.2,69,57,10.27
141,Zlotow,PL,2021-11-12 22:30:59,53.3635,17.0408,44.04,89,95,9.95
142,Pandan,PH,2021-11-12 22:30:59,14.0453,124.1694,80.1,87,80,12.17
143,Chuy,UY,2021-11-12 22:26:55,-33.6971,-53.4616,60.35,65,85,12.01
144,Khani,GE,2021-11-12 22:31:00,41.9563,42.9566,29.77,65,7,4.05
145,Poindimie,NC,2021-11-12 22:31:00,-20.9333,165.3333,81.82,69,77,5.68
146,Mar Del Plata,AR,2021-11-12 22:26:33,-38.0023,-57.5575,66.09,84,0,7.0
147,Deputatskiy,RU,2021-11-12 22:28:44,69.3,139.9,-4.59,99,100,3.49
148,Poum,NC,2021-11-12 22:31:01,-20.2333,164.0167,79.03,79,45,13.69
149,Teberda,RU,2021-11-12 22:31:01,43.4456,41.7448,39.81,66,54,4.03
150,Arraial Do Cabo,BR,2021-11-12 22:31:02,-22.9661,-42.0278,69.66,64,75,6.91
